Gene ID	Species	GeneName	Symbol
NR_003077	692212	Homo sapiens	small nucleolar RNA, C/D box 99(SNORD99)	Snord99
NR_003072	692207	Homo sapiens	small nucleolar RNA, C/D box 91A(SNORD91A)	Snord91a
NR_003070	692205	Homo sapiens	small nucleolar RNA, C/D box 89(SNORD89)	Snord89
NM_052828	10107	Homo sapiens	tripartite motif containing 10(TRIM10)	TRIM10
NR_003074	692209	Homo sapiens	small nucleolar RNA, C/D box 92(SNORD92)	Snord92
NM_052827	1017	Homo sapiens	cyclin dependent kinase 2(CDK2)	CDK2
NM_004297	9630	Homo sapiens	G protein subunit alpha 14(GNA14)	GNA14
NM_004298	9631	Homo sapiens	nucleoporin 155(NUP155)	NUP155
NM_004299	22	Homo sapiens	ATP binding cassette subfamily B member 7(ABCB7)	ABCB7
NM_004293	9615	Homo sapiens	guanine deaminase(GDA)	GDA
NM_052821	11091	Homo sapiens	WD repeat domain 5(WDR5)	WDR5
NM_004294	9617	Homo sapiens	mitochondrial translation release factor 1(MTRF1)	MTRF1
NM_004295	9618	Homo sapiens	TNF receptor associated factor 4(TRAF4)	TRAF4
NM_052820	7464	Homo sapiens	coronin 2A(CORO2A)	CORO2A
NM_004296	9628	Homo sapiens	regulator of G-protein signaling 6(RGS6)	RGS6
NM_004290	9604	Homo sapiens	ring finger protein 14(RNF14)	RNF14
NM_004291	9607	Homo sapiens	CART prepropeptide(CARTPT)	CARTPT
NM_004292	9610	Homo sapiens	Ras and Rab interactor 1(RIN1)	RIN1
NR_003067	692202	Homo sapiens	small nucleolar RNA, C/D box 88A(SNORD88A)	Snord88a
NR_003069	692204	Homo sapiens	small nucleolar RNA, C/D box 88C(SNORD88C)	Snord88c
NR_003068	692203	Homo sapiens	small nucleolar RNA, C/D box 88B(SNORD88B)	SNORD88B
NR_003063	80086	Homo sapiens	tubulin alpha 4b(TUBA4B)	TUBA4B
NR_003062	6702	Homo sapiens	small proline rich protein 2C (pseudogene)(SPRR2C)	SPRR2C
NR_003064	23615	Homo sapiens	peptide YY 2 (pseudogene)(PYY2)	PYY2
NR_003061	79166	Homo sapiens	leukocyte immunoglobulin-like receptor pseudogene 2(LILRP2)	LILRP2
NM_052852	90649	Homo sapiens	zinc finger protein 486(ZNF486)	ZNF486
NM_052853	90956	Homo sapiens	aarF domain containing kinase 2(ADCK2)	ADCK2
NM_052854	90993	Homo sapiens	cAMP responsive element binding protein 3 like 1(CREB3L1)	CREB3L1
NM_052855	91369	Homo sapiens	ankyrin repeat domain 40(ANKRD40)	ankrd40
NM_052857	91603	Homo sapiens	zinc finger protein 830(ZNF830)	ZNF830
NM_052858	91862	Homo sapiens	MARVEL domain containing 3(MARVELD3)	MARVELD3
NM_052859	91869	Homo sapiens	RFT1 homolog(RFT1)	RFT1
NM_052850	90480	Homo sapiens	GADD45G interacting protein 1(GADD45GIP1)	GADD45GIP1
NM_052851	90627	Homo sapiens	StAR related lipid transfer domain containing 13(STARD13)	STARD13
NR_003056	692108	Homo sapiens	small nucleolar RNA, C/D box 67(SNORD67)	Snord67
NR_003054	692106	Homo sapiens	small nucleolar RNA, C/D box 65(SNORD65)	Snord65
NM_052849	90416	Homo sapiens	chromosome 15 open reading frame 57(C15orf57)	c15orf57
NR_003051	6023	Homo sapiens	RNA component of mitochondrial RNA processing endoribonuclease(RMRP)	RMRP
NM_052843	84033	Homo sapiens	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF(OBSCN)	OBSCN
NM_052844	89891	Homo sapiens	WD repeat domain 34(WDR34)	WDR34
NM_052841	81629	Homo sapiens	testis specific serine kinase 3(TSSK3)	TSSK3
NM_052847	2788	Homo sapiens	G protein subunit gamma 7(GNG7)	GNG7
NM_052848	90324	Homo sapiens	coiled-coil domain containing 97(CCDC97)	CCDC97
NM_052845	326625	Homo sapiens	methylmalonic aciduria (cobalamin deficiency) cblB type(MMAB)	MMAB
NM_052846	90187	Homo sapiens	elastin microfibril interfacer 3(EMILIN3)	EMILIN3
NM_052840	60677	Homo sapiens	CUGBP, Elav-like family member 6(CELF6)	CELF6
NR_003040	649946	Homo sapiens	ribosomal protein L23a pseudogene 64(RPL23AP64)	RPL23AP64
NM_004259	9400	Homo sapiens	RecQ like helicase 5(RECQL5)	RECQL5
NM_004257	9392	Homo sapiens	transforming growth factor beta receptor associated protein 1(TGFBRAP1)	TGFBRAP1
NR_003042	692085	Homo sapiens	small nucleolar RNA, C/D box 45C(SNORD45C)	Snord45c
NM_004258	9398	Homo sapiens	CD101 molecule(CD101)	CD101
NR_003044	692088	Homo sapiens	small nucleolar RNA, C/D box 50B(SNORD50B)	SNORD50B
NR_003045	692086	Homo sapiens	small nucleolar RNA, C/D box 17(SNORD17)	Snord17
NR_003048	692091	Homo sapiens	small nucleolar RNA, C/D box 23(SNORD23)	Snord23
NM_052870	112574	Homo sapiens	sorting nexin 18(SNX18)	SNX18
NM_052873	112752	Homo sapiens	intraflagellar transport 43(IFT43)	IFT43
NM_052872	112744	Homo sapiens	interleukin 17F(IL17F)	IL17F
NM_001099339	149951	Homo sapiens	COMM domain containing 7(COMMD7)	COMMD7
NM_001099338	728118	Homo sapiens	NUT family member 2A(NUTM2A)	NUTM2A
NM_001099337	93058	Homo sapiens	coenzyme Q10A(COQ10A)	COQ10A
NM_001099336	374470	Homo sapiens	chromosome 12 open reading frame 42(C12orf42)	C12orf42
NM_052879	113251	Homo sapiens	La ribonucleoprotein domain family member 4(LARP4)	LARP4
NM_004267	9435	Homo sapiens	carbohydrate sulfotransferase 2(CHST2)	CHST2
NM_001099335	9796	Homo sapiens	phytanoyl-CoA 2-hydroxylase interacting protein(PHYHIP)	phyhip
NM_004265	9415	Homo sapiens	fatty acid desaturase 2(FADS2)	FADS2
NM_001099334	389073	Homo sapiens	chromosome 2 open reading frame 80(C2orf80)	C2orf80
NM_004264	9412	Homo sapiens	mediator complex subunit 21(MED21)	MED21
NM_052875	112936	Homo sapiens	VPS26, retromer complex component B(VPS26B)	VPS26B
NM_004263	10505	Homo sapiens	ssemaphorin 4F(SEMA4F)	SEMA4F
NM_052874	112755	Homo sapiens	syntaxin 1B(STX1B)	STX1B
NM_004262	9407	Homo sapiens	transmembrane protease, serine 11D(TMPRSS11D)	TMPRSS11D
NM_052877	112950	Homo sapiens	mediator complex subunit 8(MED8)	MED8
NM_004261	9403	Homo sapiens	selenoprotein F(SELENOF)	SELENOF
NM_052876	112939	Homo sapiens	nucleus accumbens associated 1(NACC1)	NACC1
NM_004260	9401	Homo sapiens	RecQ like helicase 4(RECQL4)	RECQL4
NM_004246	9340	Homo sapiens	glucagon like peptide 2 receptor(GLP2R)	GLP2R
NM_004247	9343	Homo sapiens	elongation factor Tu GTP binding domain containing 2(EFTUD2)	EFTUD2
NR_003032	692063	Homo sapiens	small nucleolar RNA, H/ACA box 32(SNORA32)	SNORA32
NM_004248	2834	Homo sapiens	prolactin releasing hormone receptor(PRLHR)	PRLHR
NM_001122731	57553	Homo sapiens	microtubule associated monooxygenase, calponin and LIM domain containing 3(MICAL3)	MICAL3
NM_004249	9364	Homo sapiens	RAB28, member RAS oncogene family(RAB28)	RAB28
NR_003030	692057	Homo sapiens	small nucleolar RNA, C/D box 12(SNORD12)	Snord12
NR_003033	692072	Homo sapiens	small nucleolar RNA, C/D box 5(SNORD5)	SNORD5
NR_003034	441601	Homo sapiens	septin 7 pseudogene(LOC441601)	LOC441601
NR_003038	387066	Homo sapiens	small nucleolar RNA host gene 5(SNHG5)	SNHG5
NM_052862	92241	Homo sapiens	RCSD domain containing 1(RCSD1)	RCSD1
NM_052861	92070	Homo sapiens	CTBP1 antisense RNA 2 (head to head)(CTBP1-AS2)	CTBP1-AS2
NM_052860	91975	Homo sapiens	zinc finger protein 300(ZNF300)	ZNF300
NM_052869	94015	Homo sapiens	tweety family member 2(TTYH2)	TTYH2
NM_052868	93185	Homo sapiens	immunoglobulin superfamily member 8(IGSF8)	IGSF8
NM_004256	9390	Homo sapiens	solute carrier family 22 member 13(SLC22A13)	slc22a13
NM_004255	9377	Homo sapiens	cytochrome c oxidase subunit 5A(COX5A)	Cox5a
NM_052867	259232	Homo sapiens	sodium leak channel, non-selective(NALCN)	NALCN
NM_052866	92949	Homo sapiens	ADAMTS like 1(ADAMTSL1)	ADAMTSL1
NM_052865	92667	Homo sapiens	mitochondrial genome maintenance exonuclease 1(MGME1)	MGME1
NM_052864	92610	Homo sapiens	TRAF interacting protein with forkhead associated domain(TIFA)	TIFA
NM_004252	9368	Homo sapiens	SLC9A3 regulator 1(SLC9A3R1)	SLC9A3R1
NM_052863	92304	Homo sapiens	secretoglobin family 3A member 1(SCGB3A1)	SCGB3A1
NM_004251	9367	Homo sapiens	RAB9A, member RAS oncogene family(RAB9A)	RAB9A
NM_001034836	201299	Homo sapiens	RAD52 motif containing 1(RDM1)	RDM1
NR_003020	677844	Homo sapiens	small nucleolar RNA, H/ACA box 78(SNORA78)	Snora78
NM_004279	9512	Homo sapiens	peptidase, mitochondrial processing beta subunit(PMPCB)	PMPCB
NM_001034833	55651	Homo sapiens	NHP2 ribonucleoprotein(NHP2)	nhp2
NM_001034838	30820	Homo sapiens	potassium voltage-gated channel interacting protein 1(KCNIP1)	KCNIP1
NM_001034837	30820	Homo sapiens	potassium voltage-gated channel interacting protein 1(KCNIP1)	KCNIP1
NR_003026	677792	Homo sapiens	small nucleolar RNA, H/ACA box 1(SNORA1)	SNORA1
NR_003028	684959	Homo sapiens	small nucleolar RNA, H/ACA box 25(SNORA25)	SNORA25
NM_001034832	548313	Homo sapiens	SSX family member 4B(SSX4B)	SSX4B
NR_003023	677766	Homo sapiens	small Cajal body-specific RNA 2(SCARNA2)	Scarna2
NR_003024	442720	Homo sapiens	eukaryotic translation initiation factor 3 subunit I pseudogene 1(EIF3IP1)	EIF3IP1
NM_052891	114771	Homo sapiens	peptidoglycan recognition protein 3(PGLYRP3)	PGLYRP3
NM_052890	114770	Homo sapiens	peptidoglycan recognition protein 2(PGLYRP2)	PGLYRP2
NM_004281	9531	Homo sapiens	BCL2 associated athanogene 3(BAG3)	BAG3
NM_052893	114781	Homo sapiens	BTB domain containing 9(BTBD9)	BTBD9
NR_003019	677843	Homo sapiens	small nucleolar RNA, H/ACA box 77(SNORA77)	SNORA77
NM_004280	9521	Homo sapiens	eukaryotic translation elongation factor 1 epsilon 1(EEF1E1)	EEF1E1
NM_052892	114780	Homo sapiens	polycystin 1 like 2 (gene/pseudogene)(PKD1L2)	PKD1L2
NM_004285	9563	Homo sapiens	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase(H6PD)	H6PD
NM_052897	114785	Homo sapiens	methyl-CpG binding domain protein 6(MBD6)	mbd6
NM_004284	9557	Homo sapiens	chromodomain helicase DNA binding protein 1 like(CHD1L)	CHD1L
NM_052896	114784	Homo sapiens	CUB and Sushi multiple domains 2(CSMD2)	CSMD2
NM_004283	9545	Homo sapiens	RAB3D, member RAS oncogene family(RAB3D)	RAB3D
NM_052899	114787	Homo sapiens	G protein regulated inducer of neurite outgrowth 1(GPRIN1)	GPRIN1
NM_004282	9532	Homo sapiens	BCL2 associated athanogene 2(BAG2)	BAG2
NM_052898	114786	Homo sapiens	XK related 4(XKR4)	XKR4
NM_004289	9603	Homo sapiens	nuclear factor, erythroid 2 like 3(NFE2L3)	nfe2l3
NM_004288	9595	Homo sapiens	cytohesin 1 interacting protein(CYTIP)	CYTIP
NM_004287	9570	Homo sapiens	golgi SNAP receptor complex member 2(GOSR2)	GOSR2
NM_004286	9567	Homo sapiens	GTP binding protein 1(GTPBP1)	GTPBP1
NM_004268	9440	Homo sapiens	mediator complex subunit 17(MED17)	MED17
NM_001034845	442117	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase-like 6(GALNTL6)	GALNTL6
NR_003010	677777	Homo sapiens	small Cajal body-specific RNA 12(SCARNA12)	SCARNA12
NM_004269	9442	Homo sapiens	mediator complex subunit 27(MED27)	MED27
NR_003017	677839	Homo sapiens	small nucleolar RNA, H/ACA box 71C(SNORA71C)	SNORA71C
NR_003018	677840	Homo sapiens	small nucleolar RNA, H/ACA box 71D(SNORA71D)	SNORA71D
NR_003015	677832	Homo sapiens	small nucleolar RNA, H/ACA box 53(SNORA53)	SNORA53
NR_003016	677810	Homo sapiens	small nucleolar RNA, H/ACA box 26(SNORA26)	Snora26
NR_003013	677781	Homo sapiens	small Cajal body-specific RNA 16(SCARNA16)	SCARNA16
NM_001034841	162073	Homo sapiens	inositol 1,4,5-trisphosphate receptor interacting protein like 2(ITPRIPL2)	ITPRIPL2
NR_003011	677778	Homo sapiens	small Cajal body-specific RNA 15(SCARNA15)	SCARNA15
NM_001034842	374308	Homo sapiens	patched domain containing 3(PTCHD3)	PTCHD3
NM_052880	113791	Homo sapiens	phosphoinositide-3-kinase interacting protein 1(PIK3IP1)	PIK3IP1
NM_052884	114132	Homo sapiens	sialic acid binding Ig like lectin 11(SIGLEC11)	SIGLEC11
NR_003009	677776	Homo sapiens	small Cajal body-specific RNA 8(SCARNA8)	Scarna8
NM_052882	114026	Homo sapiens	zinc finger imprinted 3(ZIM3)	ZIM3
NM_004270	9443	Homo sapiens	mediator complex subunit 7(MED7)	MED7
NR_003008	677775	Homo sapiens	small Cajal body-specific RNA 5(SCARNA5)	SCARNA5
NM_004272	9456	Homo sapiens	homer scaffolding protein 1(HOMER1)	HOMER1
NM_052888	114659	Homo sapiens	leucine rich repeat containing 37B(LRRC37B)	LRRC37B
NM_052886	114569	Homo sapiens	mal, T-cell differentiation protein 2 (gene/pseudogene)(MAL2)	MAL2
NM_004274	9472	Homo sapiens	A-kinase anchoring protein 6(AKAP6)	akap6
NM_052885	114134	Homo sapiens	solute carrier family 2 member 13(SLC2A13)	SLC2A13
NM_004273	9469	Homo sapiens	carbohydrate sulfotransferase 3(CHST3)	CHST3
NM_004276	9478	Homo sapiens	calcium binding protein 1(CABP1)	CABP1
NM_004275	9477	Homo sapiens	mediator complex subunit 20(MED20)	MED20
NM_004278	9487	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class L(PIGL)	PIGL
NM_004277	9481	Homo sapiens	solute carrier family 25 member 27(SLC25A27)	SLC25A27
NM_052889	114769	Homo sapiens	caspase recruitment domain family member 16(CARD16)	CARD16
NM_004354	901	Homo sapiens	cyclin G2(CCNG2)	CCNG2
NM_018105	55145	Homo sapiens	THAP domain containing 1(THAP1)	THAP1
NM_004355	972	Homo sapiens	CD74 molecule(CD74)	CD74
NM_004352	869	Homo sapiens	cerebellin 1 precursor(CBLN1)	CBLN1
NM_018103	55144	Homo sapiens	leucine rich repeat containing 8 family member D(LRRC8D)	LRRC8D
NM_018102	55713	Homo sapiens	zinc finger protein 334(ZNF334)	ZNF334
NM_004350	864	Homo sapiens	runt related transcription factor 3(RUNX3)	RUNX3
NM_018101	55143	Homo sapiens	cell division cycle associated 8(CDCA8)	CDCA8
NM_018100	114327	Homo sapiens	EF-hand domain containing 1(EFHC1)	EFHC1
NR_015341	107133515	Homo sapiens	SMURF2P1-LRRC37BP1 readthrough transcribed pseudogene(LOC107133515)	LOC107133515
NM_004349	862	Homo sapiens	RUNX1 translocation partner 1(RUNX1T1)	RUNX1T1
NM_004348	860	Homo sapiens	runt related transcription factor 2(RUNX2)	RUNX2
NM_004346	836	Homo sapiens	caspase 3(CASP3)	CASP3
NM_004345	820	Homo sapiens	cathelicidin antimicrobial peptide(CAMP)	CAMP
NR_015342	50652	Homo sapiens	prostate cancer associated 3 (non-protein coding)(PCA3)	pca3
NR_015343	389458	Homo sapiens	RBAK downstream neighbor (non-protein coding)(RBAKDN)	Rbakdn
NM_004363	1048	Homo sapiens	carcinoembryonic antigen related cell adhesion molecule 5(CEACAM5)	CEACAM5
NM_004364	1050	Homo sapiens	CCAAT/enhancer binding protein alpha(CEBPA)	CEBPA
NM_004365	1070	Homo sapiens	centrin 3(CETN3)	CETN3
NM_004366	1181	Homo sapiens	chloride voltage-gated channel 2(CLCN2)	CLCN2
NM_004360	999	Homo sapiens	cadherin 1(CDH1)	CDH1
NM_004361	1005	Homo sapiens	cadherin 7(CDH7)	CDH7
NM_004362	1047	Homo sapiens	calmegin(CLGN)	CLGN
NM_004357	977	Homo sapiens	CD151 molecule (Raph blood group)(CD151)	CD151
NM_004356	975	Homo sapiens	CD81 molecule(CD81)	CD81
NM_004359	997	Homo sapiens	cell division cycle 34(CDC34)	CDC34
NM_004358	994	Homo sapiens	cell division cycle 25B(CDC25B)	cdc25b
NM_018122	55157	Homo sapiens	aspartyl-tRNA synthetase 2, mitochondrial(DARS2)	DARS2
NM_018121	55719	Homo sapiens	SMC5-SMC6 complex localization factor 2(SLF2)	SLF2
NM_018120	55156	Homo sapiens	armadillo repeat containing 1(ARMC1)	ARMC1
NM_004332	670	Homo sapiens	biphenyl hydrolase like(BPHL)	BPHL
NM_018127	60528	Homo sapiens	elaC ribonuclease Z 2(ELAC2)	ELAC2
NM_004333	673	Homo sapiens	B-Raf proto-oncogene, serine/threonine kinase(BRAF)	BRAF
NM_018126	55161	Homo sapiens	transmembrane protein 33(TMEM33)	TMEM33
NM_004330	663	Homo sapiens	BCL2 interacting protein 2(BNIP2)	BNIP2
NM_018125	55160	Homo sapiens	Rho guanine nucleotide exchange factor 10 like(ARHGEF10L)	ARHGEF10L
NM_004331	665	Homo sapiens	BCL2 interacting protein 3 like(BNIP3L)	BNIP3L
NM_018124	55159	Homo sapiens	ring finger and WD repeat domain 3(RFWD3)	RFWD3
NM_004326	607	Homo sapiens	B-cell CLL/lymphoma 9(BCL9)	BCL9
NM_018119	55718	Homo sapiens	RNA polymerase III subunit E(POLR3E)	POLR3E
NM_004324	581	Homo sapiens	BCL2 associated X, apoptosis regulator(BAX)	BAX
NM_018117	55717	Homo sapiens	WD repeat domain 11(WDR11)	WDR11
NM_004323	573	Homo sapiens	BCL2 associated athanogene 1(BAG1)	BAG1
NM_004329	657	Homo sapiens	bone morphogenetic protein receptor type 1A(BMPR1A)	BMPR1A
NM_004328	617	Homo sapiens	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone(BCS1L)	Bcs1l
NM_004327	613	Homo sapiens	BCR, RhoGEF and GTPase activating protein(BCR)	BCR
NM_018110	55715	Homo sapiens	docking protein 4(DOK4)	DOK4
NM_018112	55151	Homo sapiens	transmembrane protein 38B(TMEM38B)	TMEM38B
NM_018111	55150	Homo sapiens	chromosome 19 open reading frame 73(C19orf73)	C19orf73
NM_004341	790	Homo sapiens	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase(CAD)	CAD
NM_018114	55152	Homo sapiens	DALR anticodon binding domain containing 3(DALRD3)	DALRD3
NM_004342	800	Homo sapiens	caldesmon 1(CALD1)	CALD1
NM_018113	55716	Homo sapiens	limb development membrane protein 1 like(LMBR1L)	LMBR1L
NM_004343	811	Homo sapiens	calreticulin(CALR)	CALR
NM_018116	55154	Homo sapiens	misato 1, mitochondrial distribution and morphology regulator(MSTO1)	MSTO1
NM_004344	1069	Homo sapiens	centrin 2(CETN2)	cetn2
NM_018115	55153	Homo sapiens	SDA1 domain containing 1(SDAD1)	SDAD1
NM_004335	684	Homo sapiens	bone marrow stromal cell antigen 2(BST2)	BST2
NM_018106	55146	Homo sapiens	zinc finger DHHC-type containing 4(ZDHHC4)	ZDHHC4
NM_004334	683	Homo sapiens	bone marrow stromal cell antigen 1(BST1)	BST1
NM_018107	55147	Homo sapiens	RNA binding motif protein 23(RBM23)	RBM23
NM_004337	734	Homo sapiens	oxidative stress induced growth inhibitor family member 2(OSGIN2)	OSGIN2
NM_004336	699	Homo sapiens	BUB1 mitotic checkpoint serine/threonine kinase(BUB1)	BUB1
NM_018109	55149	Homo sapiens	mitochondrial poly(A) polymerase(MTPAP)	MTPAP
NM_004339	754	Homo sapiens	pituitary tumor-transforming 1 interacting protein(PTTG1IP)	PTTG1IP
NM_004338	753	Homo sapiens	low density lipoprotein receptor class A domain containing 4(LDLRAD4)	LDLRAD4
NM_004311	403	Homo sapiens	ADP ribosylation factor like GTPase 3(ARL3)	ARL3
NM_004310	399	Homo sapiens	ras homolog family member H(RHOH)	RHOH
NM_001081573	139716	Homo sapiens	GRB2 associated binding protein 3(GAB3)	GAB3
NM_001111019	89797	Homo sapiens	neuron navigator 2(NAV2)	NAV2
NM_144947	11012	Homo sapiens	kallikrein related peptidase 11(KLK11)	KLK11
NM_144949	9655	Homo sapiens	suppressor of cytokine signaling 5(SOCS5)	SOCS5
NM_004309	396	Homo sapiens	Rho GDP dissociation inhibitor alpha(ARHGDIA)	ARHGDIA
NM_004308	392	Homo sapiens	Rho GTPase activating protein 1(ARHGAP1)	ARHGAP1
NM_004305	274	Homo sapiens	bridging integrator 1(BIN1)	BIN1
NM_004306	312	Homo sapiens	annexin A13(ANXA13)	ANXA13
NM_004304	238	Homo sapiens	anaplastic lymphoma receptor tyrosine kinase(ALK)	ALK
NM_004301	86	Homo sapiens	actin like 6A(ACTL6A)	ACTL6A
NM_004302	91	Homo sapiens	activin A receptor type 1B(ACVR1B)	ACVR1B
NM_001111018	89797	Homo sapiens	neuron navigator 2(NAV2)	NAV2
NM_004320	487	Homo sapiens	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1(ATP2A1)	ATP2A1
NM_004322	572	Homo sapiens	BCL2 associated agonist of cell death(BAD)	BAD
NM_004321	547	Homo sapiens	kinesin family member 1A(KIF1A)	KIF1A
NM_001111020	6829	Homo sapiens	SPT5 homolog, DSIF elongation factor subunit(SUPT5H)	SUPT5H
NM_001081560	1760	Homo sapiens	dystrophia myotonica protein kinase(DMPK)	DMPK
NM_001081562	1760	Homo sapiens	dystrophia myotonica protein kinase(DMPK)	DMPK
NM_001081563	1760	Homo sapiens	dystrophia myotonica protein kinase(DMPK)	DMPK
NM_001081559	10898	Homo sapiens	cleavage and polyadenylation specific factor 4(CPSF4)	CPSF4
NM_004316	429	Homo sapiens	achaete-scute family bHLH transcription factor 1(ASCL1)	ASCL1
NM_004317	439	Homo sapiens	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)(ASNA1)	ASNA1
NM_004318	444	Homo sapiens	aspartate beta-hydroxylase(ASPH)	ASPH
NM_004319	460	Homo sapiens	astrotactin 1(ASTN1)	ASTN1
NM_004312	407	Homo sapiens	arrestin 3(ARR3)	ARR3
NM_004313	409	Homo sapiens	arrestin beta 2(ARRB2)	ARRB2
NM_004314	417	Homo sapiens	ADP-ribosyltransferase 1(ART1)	ART1
NM_004315	427	Homo sapiens	N-acylsphingosine amidohydrolase 1(ASAH1)	ASAH1
NM_001111032	130399	Homo sapiens	activin A receptor type 1C(ACVR1C)	ACVR1C
NM_001111031	130399	Homo sapiens	activin A receptor type 1C(ACVR1C)	ACVR1C
NM_001081550	57187	Homo sapiens	THO complex 2(THOC2)	THOC2
NM_001111038	222235	Homo sapiens	F-box and leucine rich repeat protein 13(FBXL13)	FBXL13
NM_001111039	7741	Homo sapiens	zinc finger and SCAN domain containing 26(ZSCAN26)	ZSCAN26
NM_001111033	130399	Homo sapiens	activin A receptor type 1C(ACVR1C)	ACVR1C
NM_001111034	54	Homo sapiens	acid phosphatase 5, tartrate resistant(ACP5)	ACP5
NM_001111035	54	Homo sapiens	acid phosphatase 5, tartrate resistant(ACP5)	ACP5
NM_001111036	54	Homo sapiens	acid phosphatase 5, tartrate resistant(ACP5)	ACP5
NM_004300	52	Homo sapiens	acid phosphatase 1, soluble(ACP1)	ACP1
NM_079834	113178	Homo sapiens	secretory carrier membrane protein 4(SCAMP4)	SCAMP4
NM_079837	54971	Homo sapiens	BTG3 associated nuclear protein(BANP)	BANP
NM_001111046	8900	Homo sapiens	cyclin A1(CCNA1)	CCNA1
